,claim,exp,label
0,Anterolateral ahroscopy of knee is for to see patellofemoral aiculation.,"Standard poals in knee ahroscopy Anterolateral poal Almost all the structures within the knee joint can be seen except- posterior cruciate ligament anterior poion of the lateral meniscus periphery of the posterior horn of the medial meniscus in tight knees. Anteromedial poal Additional viewing of lateral compament Posteromedial poal Used for viewing the posteromedial structures For repair or removal of the displaced posterior horn of meniscal tears Superolateral poal Used for diagnostically viewing the dynamics of patella-femoral joint, excision of medial plica.",sup
2,H. influenza is associated with sudural effusion.,"Chronic Subdural Empyema It may be primary infection of subdural space from sinusitis focus causing suppuration and pus formation. It can be complication of the chronic subdural haematoma. It is due to secondary bacterial infection of collected clot/fluid. Infection is from sinusitis scalp (common)/through earlier trauma wound/haematogenous. Commonly Gram positive organisms cause empyema like streptococci (viridans/milleri) but other virulent organisms like Gram negative bacteria (H.influenzae) occasionally can cause. There is coical venous thrombophlebitis and coical infarction. Headache, fever, meningism and convulsions are the features. MRI is ideal than CT to diagnose. Treatment: Antibiotics, craniotomy and drainage; anticonvulsants, ICU care, proper monitoring, regular follow up. Condition has got 10% moality. Ref: SRB's Manual of Surgery 5th edition Pgno : 1097",sup
3,Polysaccharide is very difficult to induce antibody.,"An antigen is any substance that causes an immune system to produce antibodies against it. Antigens are usually peptides, polysaccharides or lipids. In general, molecules other than peptides (saccharides and lipids) qualify as antigens but not as immunogens since they cannot elicit an immune response on their own. Ref: Ananthanarayan & Panikers textbook of microbiology 9th edition pg:88",sup
4,S2 is best appreciated in 3rd left intercostal space.,"Ans. is 'a' i.e., 3rd left intercostal space o Best areas to auscultate for both components of the second heart sound (A2 and P2) are either the left sternal border at the level of second intercostal space (Pulmonic area) or the left sternal border at the level of third intercostal space (Erb s point).",sup
5,Household insectiside used for malaria is Malathion.,"Ans. is 'a' i.e., Malathion* Insectisides used for control of malaria are-i) Residual sprapy-# In residual spray, spraying of houses with residual insectisides is done. Residual insectisides remains active over extended periods i.e., they have residual action even after the time of spray.# Commonly used residual insectisides are - Malathion, DDT, Lindane, propoxure (OMS-33).ToxicantDosage in g/m2Average duration of effectiveness (months)DDT1 to 26 to 12Lindane0-53Malathion23OMS-3323ii) Space spray# Space sprays are those where the insecticidal formation is sprayed into the atmosphere in the form of a mist or fog to kill insect. Action is short lived and temporary since there is no residual action.# The most commonly used space spray insecticide is Pyrethrum.# New equipment has been developed to use residual insectiside as space spray by ultra low volume (ULV) technique. Malathions and fenthion are most commonly used.",sup
6,Salmonella typhimurium is a newly emerging food poisoning organism.,"Ans: a (Salmonella typhimurium) Ref: Ananathanarayan,7th ed, p. 303Of the above given, S. typhimurium causes food poisoningSalmonella gastroenteritisS. typhimurium is the most common cause of food poisoning due to salmonella species.Incubation period--6-24 hrsFood poisoning is never caused by S. typhi. Source of transmission: poultry, meat, milk and milk products.C/F-nausea, vomiting, diarrhoea, abdominal cramps, fever.Blood culture is usually negativeNoteS. aureus is the most common cause of food poisoning in the westIP and clinical features of various bacteria causing food poisoiningIncubation period Organism responsible 1- hrs S. aureus-nausea, vomiting, diarrheaB. cereus-nausea, vomiting 8-16 hrs C. perfringes-abdominal cramps, diarrhoea (vomiting rare)B. cereus-abdominal cramps, diarrhoea, vomiting > 16 hrs Vibrio cholera-watery diarrhoeaETEC-watery diarrhoeaEHEC-bloody diarrhoeaSalmonella species-inflammatory diarrhoeaCamphylobacter jej uni-inflammatory diarrhoeaShigella species- dysentryV. parahaemolyticus-dysentry",sup
7,Determination of Pulp vitality by pulse oximeter is based on Beer's law.,"Pulse oxymetry-

Based on Beer Lambert law
Utilization of a probe that transmits red (640 mm) andÂ infrared light
Photo detector as a receptor site
Different absorption ability of light by oxygenated andÂ deoxygenated haemoglobin leads to changes in theÂ amount of light differently absorbed by the vascular bedÂ before reaching the photo detector.",sup
8,"A 12-year-old girl presents to the casualty with symptoms of fever, shoness of breath, and cough. A chest X-ray reveals complete consolidation of the lower lobe of the left lung. Cultures of the upper lobe of her left lung would most likely reveal Streptococcus pneumoniae.","The history and findings are consistent with a lobar pneumonia. The most common etiologic agent of lobar pneumonia is Streptococcus pneumoniae. ESSENTIALS OF DIAGNOSIS Productive cough, fever, rigors, dyspnea, early pleuritic chest pain Consolidating lobar pneumonia on chest radiograph Lancet-shaped gram-positive diplococci on Gram stain of sputum Ref: Papadakis MA, McPhee SJ, ""Pneumonia, Pneumococcal."" Quick Medical Diagnosis & Treatment",sup
10,Cytochrome P-450 is the main enzyme responsible for activation of xenobiotics.,"Xenobiotics are compounds which may be accidently ingested or taken as drugs or compounds produced in the body by bacterial metabolism. The cytochrome P-450 enzyme family is involved in the biotransformation reaction of xenobiotics. They are heme containing membrane proteins localized in the smooth endoplasmic reticulum of liver. They are so named because they absorb light at wavelength of 450nm, when exposed to carbon monoxide. Ref: Vasudevan Biochemistry, 3rd Edition, Pages 310-2",sup
11,The Earliest lesion seen in atherosclerosis is Fatty streaks.,"Ans: A (Fatty streaks) Ref: Robbins Pathologic Basis of Disease, 8th edition.Explanation:Fatty streaks are the earliest lesions in atherosclerosis "" Ref: RobbinsMorphology of AtherosclerosisFatty StreaksThese are the earliest lesions in atherosclerosis.They are composed of lipid-filled foamy macrophages.Beginning as multiple minute flat yellow spots, they eventually coalesce into elongated streaks 1 cm or more in length.These lesions are not significantly raised and do not cause any flow disturbanceAortas of infants less than 1 year old can exhibit fatty streaks, and such lesions are seen in virtually all children older than 10 years, regardless of geography, race, sex, or environment.The relationship of fatty streaks to atherosclerotic plaques is uncertainThey may evolve into precursors of plaques, not all fatty streaks are destined to become advanced lesions.Atherosclerotic PlaqueThe key processes in atherosclerosis are intimal thickening and lipid accumulationAtheromatous plaques impinge on the lumen of the artery and grossly appear white to yellow: superimposed thrombus over ulcerated plaques is red-brown.Plaques vary from 0.3 to 1.5 cm in diameter but can coalesce to form larger massesAtherosclerotic lesions are patchy, on cross- section, the lesions appear ""eccentric""Local flow disturbances (e.g., turbulence at branch points) leads to increased susceptibility to plaque formation.In descending order, the most extensively involved vessels are theLower abdominal aorta (MC)The coronary arteries (Second MC)The popliteal arteriesThe internal carotid arteriesVessels of the circle of WillisVessels of the upper extremities are usually spared, as are the mesenteric and renal arteries, except at their ostia.Atherosclerotic plaques have three principal components:Cells, including smooth muscle cells, macrophages, and T cellsECM, including collagen, elastic fibers, and proteoglycansIntracellular and extracellular lipidSuperficial fibrous cap composed of smooth muscle cells and dense collagen.Beneath and to the side of the cap (the ""shoulder"") is a more cellular area containing macrophages, T cells, and smooth muscle cells.Deep to the fibrous cap is a necrotic core, containing lipid (primarily cholesterol and cholesterol esters), debris from dead cells, foam cells (lipid-laden macrophages and smooth muscle cells), fibrin, variably organized thrombus, and other plasma proteins and cholesterolThe periphery of the lesions show neovascularization (proliferating small blood vessels;Plaques generally continue to change and progressively enlarge due to cell death and degeneration, synthesis and degradation (remodeling) of ECM, and organization of thrombus.Atheromas often undergo calcificationAtherosclerotic plaques are susceptible to the following clinically important changes* Rupture, ulceration, or erosion of the intimal surface of atheromatous plaques exposes the blood to highly thrombogenic substances and induces thrombosis.* Such thrombosis can partially or completely occlude the lumen and lead to downstream ischemia.* If the patient survives the initial thrombotic occlusion, the clot may become organized and incorporated into the growing plaque.* Hemorrhage into a plaque. Rupture of the overlying fibrous cap, or of the thin-walled vessels in the areas of neovascularization, can cause intra-plaque hemorrhage; a contained hematoma may expand the plaque or induce plaque rupture.* Atheroembolism. Plaque rupture can discharge atherosclerotic debris into the bloodstream, producing microemboli* Alienism formation. Atherosclerosis-induced pressure or ischemic atrophy of the underlying media, with loss of elastic tissue, causes weakness resulting in aneurysmal dilation and potential rupture.",sup
